Customer,Model_Type,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer B,LLM Large,6716P-B,B200 Water,1,8,Water,F3,F0,6.496893497,7075.282032,23.12080383,38.83039474,62.4169445,1927.251053,0,1085.614035,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Water,F3,F1,6.032830533,9693.518008,23.12080383,55.19439697,62.4169445,3339.620361,0,2291.480702,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Water,F3,F2,4.968215498,12176.7187,23.12080383,70,62.4169445,4480,0,3634.301754,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Water,F3,F3,4.445246708,16009.08361,23.12080383,70,62.4169445,5600,0,6346.666667,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F0,F0,1.144704121,6894.593652,21.82685852,37.86289215,36.53793526,1900.16098,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F0,F1,1.062940646,9310.570657,21.82685852,52.9627037,36.53793526,3252.137985,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F0,F2,0.875365616,11601.41878,21.82685852,67.28,36.53793526,4358.144,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F0,F3,0.783223496,15236.53794,21.82685852,70,36.53793526,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F1,F0,1.144700682,6903.07879,22.25114822,37.86289215,45.02307272,1900.16098,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F1,F1,1.062937207,9319.055795,22.25114822,52.9627037,45.02307272,3252.137985,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F1,F2,0.875362177,11609.90391,22.25114822,67.28,45.02307272,4358.144,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F1,F3,0.783220057,15245.02307,22.25114822,70,45.02307272,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F2,F0,1.144698065,6911.703961,22.68239975,37.86289215,53.64824375,1900.16098,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F2,F1,1.06293459,9327.680966,22.68239975,52.9627037,53.64824375,3252.137985,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F2,F2,0.87535956,11618.52909,22.68239975,67.28,53.64824375,4358.144,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F2,F3,0.78321744,15253.64824,22.68239975,70,53.64824375,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F3,F0,1.144697311,6920.472662,23.12080383,37.86289215,62.4169445,1900.16098,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F3,F1,1.062933837,9336.449667,23.12080383,52.9627037,62.4169445,3252.137985,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F3,F2,0.875358807,11627.29779,23.12080383,67.28,62.4169445,4358.144,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Water,F3,F3,0.783216687,15262.41694,23.12080383,70,62.4169445,5600,0,5600,GPU-Limited (Main Phase)
