Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F2,F1,2.2777088300399524,6134.2063157894745,24.0,41.0,74.88,1192.8000000000002,0.0,866.5263157894739,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F2,F2,1.8757623371570853,6965.995789473685,24.0,49.0,74.88,1516.8000000000002,0.0,1374.3157894736846,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F2,F3,1.6783149371444486,8802.880000000001,24.0,67.0,74.88,2328.0,0.0,2400.0,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F3,F0,2.4529150719518573,5232.126315789474,26.0,31.0,89.6,732.0,0.0,410.5263157894737,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F3,F1,2.2777076263362486,6148.926315789474,26.0,41.0,89.6,1192.8000000000002,0.0,866.5263157894739,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F3,F2,1.8757611334533815,6980.715789473685,26.0,49.0,89.6,1516.8000000000002,0.0,1374.3157894736846,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6543P-B,B100 Air,2,8,Air,F3,F3,1.6783137334407447,8817.6,26.0,67.0,89.6,2328.0,0.0,2400.0,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F0,F0,13.921916194616195,5260.143157894737,23.0,32.0,50.88,744.0,0.0,465.2631578947368,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F0,F1,12.927495557338414,6242.543157894737,23.0,42.0,50.88,1209.6000000000001,0.0,982.0631578947371,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F0,F2,10.646177624759979,7163.637894736843,23.0,51.0,50.88,1555.2,0.0,1557.5578947368426,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F0,F3,9.525530219282851,11570.880000000001,23.0,95.0,50.88,4800.0,0.0,2720.0,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F1,F0,13.921910350460351,5272.623157894737,24.0,32.0,63.36,744.0,0.0,465.2631578947368,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F1,F1,12.92748971318257,6255.023157894737,24.0,42.0,63.36,1209.6000000000001,0.0,982.0631578947371,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F1,F2,10.646171780604135,7176.117894736843,24.0,51.0,63.36,1555.2,0.0,1557.5578947368426,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F1,F3,9.525524375127008,11583.36,24.0,95.0,63.36,4800.0,0.0,2720.0,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F2,F0,13.921905588555589,5285.529824561403,25.0,32.0,76.26666666666667,744.0,0.0,465.2631578947368,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F2,F1,12.927484951277808,6267.929824561404,25.0,42.0,76.26666666666667,1209.6000000000001,0.0,982.0631578947371,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F2,F2,10.646167018699373,7189.02456140351,25.0,51.0,76.26666666666667,1555.2,0.0,1557.5578947368426,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F2,F3,9.525519613222245,11596.266666666666,25.0,95.0,76.26666666666667,4800.0,0.0,2720.0,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F3,F0,13.921903921888923,5298.863157894737,26.0,32.0,89.6,744.0,0.0,465.2631578947368,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F3,F1,12.927483284611142,6281.263157894737,26.0,42.0,89.6,1209.6000000000001,0.0,982.0631578947371,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F3,F2,10.646165352032707,7202.357894736842,26.0,51.0,89.6,1555.2,0.0,1557.5578947368426,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6543P-B,B100 Air,2,8,Air,F3,F3,9.52551794655558,11609.6,26.0,95.0,89.6,4800.0,0.0,2720.0,GPU-Limited (Main Phase)
