Customer,CPU_Workload,GPU_Workload,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F1,1.062936573576799,10246.161403508773,26.0,53.0,970.6666666666667,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F2,0.8753615435647943,15524.603508771932,26.0,86.0,970.6666666666667,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F2,F3,0.7832194235588973,16170.666666666668,26.0,70.0,970.6666666666667,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F0,1.144698962148962,8001.894736842105,27.0,38.0,1140.0,1904.0,0.0,957.8947368421053,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F1,1.0629354875283445,10415.494736842105,27.0,53.0,1140.0,3253.6000000000004,0.0,2021.8947368421059,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F2,0.8753604575163398,15693.936842105264,27.0,86.0,1140.0,7347.200000000001,0.0,3206.7368421052643,GPU-Limited (Main Phase)
Customer B,Compute B,Compute BG,6978P,B200 Water,8,8,Water,F3,F3,0.7832183375104428,16340.0,27.0,70.0,1140.0,5600.0,0.0,5600.000000000001,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F0,F0,6.496906496881497,7665.6140350877195,24.0,39.0,648.0000000000001,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F0,F1,6.032843532818533,10271.480701754386,24.0,55.0,648.0000000000001,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F0,F2,4.968228497615263,12762.301754385966,24.0,70.0,648.0000000000001,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F0,F3,4.445259708392603,16594.666666666668,24.0,70.0,648.0000000000001,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F1,F0,6.496901496881496,7824.280701754386,25.0,39.0,806.6666666666667,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F1,F1,6.032838532818532,10430.147368421054,25.0,55.0,806.6666666666667,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F1,F2,4.968223497615262,12920.968421052634,25.0,70.0,806.6666666666667,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F1,F3,4.445254708392603,16753.333333333336,25.0,70.0,806.6666666666667,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F2,F0,6.496897286355181,7988.280701754386,26.0,39.0,970.6666666666667,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F2,F1,6.032834322292217,10594.147368421054,26.0,55.0,970.6666666666667,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F2,F2,4.968219287088947,13084.968421052634,26.0,70.0,970.6666666666667,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F2,F3,4.4452504978662875,16917.333333333336,26.0,70.0,970.6666666666667,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F3,F0,6.496895782595783,8177.6140350877195,28.0,39.0,1160.0,1932.0,0.0,1085.6140350877192,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F3,F1,6.032832818532819,10783.480701754386,28.0,55.0,1160.0,3332.0000000000005,0.0,2291.4807017543867,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F3,F2,4.968217783329549,13274.301754385966,28.0,70.0,1160.0,4480.0,0.0,3634.301754385966,GPU-Limited (Main Phase)
Customer C,Compute C,Compute CG,6978P,B200 Water,8,8,Water,F3,F3,4.44524899410689,17106.666666666668,28.0,70.0,1160.0,5600.0,0.0,6346.666666666668,GPU-Limited (Main Phase)
