Customer,Model_Type,CPU_Model,GPU_Model,CPU_Count,GPU_Count,Cooling,CPU_DVFS,GPU_DVFS,Calc_Time_sec,Max_Power_W,CPU_Temp_C,GPU_Temp_C,CPU_Leak_W,GPU_Leak_W,CPU_Active_Main_W,GPU_Active_Main_W,Bottleneck
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F1,6.032830533,10276.32614,25.18760681,70,64.845438,3920,0,2291.480702,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F2,4.968215498,12179.14719,25.18760681,70,64.845438,4480,0,3634.301754,GPU-Limited (Main Phase)
Customer B,LLM Large,6716P-B,B200 Water,1,8,Air,F3,F3,4.445246708,16011.5121,25.18760681,70,64.845438,5600,0,6346.666667,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F0,1.144704121,19388.37172,22.98862457,173.51,37.35698032,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F1,1.062940646,9979.251717,22.98862457,70,37.35698032,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F2,0.875365616,11724.09382,22.98862457,70,37.35698032,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F0,F3,0.783223496,15237.35698,22.98862457,70,37.35698032,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F0,1.144700682,19397.28777,23.70178223,173.51,46.27303569,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F1,1.062937207,9988.167773,23.70178223,70,46.27303569,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F2,0.875362177,11733.00988,23.70178223,70,46.27303569,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F1,F3,0.783220057,15246.27304,23.70178223,70,46.27303569,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F0,1.144698065,19406.44729,24.43458557,173.51,55.43255297,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F1,1.06293459,9997.32729,24.43458557,70,55.43255297,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F2,0.87535956,11742.1694,24.43458557,70,55.43255297,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F2,F3,0.78321744,15255.43255,24.43458557,70,55.43255297,5600,0,5600,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F0,1.144697311,19415.86017,25.18760681,173.51,64.845438,14393.12,0,957.8947368,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F1,1.062933837,10006.74017,25.18760681,70,64.845438,3920,0,2021.894737,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F2,0.875358807,11751.58228,25.18760681,70,64.845438,4480,0,3206.736842,GPU-Limited (Main Phase)
Customer C,LLM Small,6716P-B,B200 Water,1,8,Air,F3,F3,0.783216687,15264.84544,25.18760681,70,64.845438,5600,0,5600,GPU-Limited (Main Phase)
